ftalk	stalk
plain	plain
industrious	industrious
man	man
wlo	who
undrltand	understand
tbcir	their
bufinfsf	business
and	and
let	let
tbofe	those
vho	who
pleafe	please
dream	dream
of	of
a	a
nation	nation
of	of
dreamr	dreamer
like	like
tlcmfelvef	themselves
therc	there
be	be
some	some
prediction	prediction
wbich	which
have	have
no	no
othem	other
clauce	chance
f	of
accomplishment	accomplishment
tlan	than
fall	fall
in	in
with	with
hanguage	language
of	of
tbif	this
sort	sort
lf	if
it	it
be	be
the	the
tcndency	tendency
of	of
the	the
time	time
to	to
douht	doubt
or	or
to	to
contemn	contemn
al	all
projdct	project
for	for
intellectual	intellectual
improvement	improvement
if	if
skepticism	skepticism
he	be
ftrong	strong
than	than
conviction	conviction
and	and
ridicule	ridicule
i	i
more	more
wcigbtv	weighty
than	than
man	man
s	s
nticst	interest
tben	then
we	we
admit	admit
tbat	that
this	this
greal	great
and	and
nobhe	noble
undertaking	undertaking
of	of
tbe	the
age	age
may	may
fail	fail
eut	eut
even	even
then	then
ue	we
shalh	shall
uot	not
admit	admit
ihat	that
it	it
be	be
at	at
all	all
neceffary	necessary
il	it
should	should
famu	fail
we	we
mrintain	maintain
that	that
f	if
foeictv	society
would	would
scriouflv	seriously
and	and
earneftlv	earnestly
set	set
about	about
lhe	the
aork	work
of	of
selfimprovement	selfimprovement
there	there
be	be
intellect	intellect
and	and
ablhlty	ability
of	of
every	every
fort	sort
enough	enough
and	and
a	a
hundryd	hundred
tme	time
more	more
than	than
enougl	enough
to	to
accomplifh	accomplish
all	all
tbat	that
ic	we
defire	desire
ii	if
we	we
could	could
promife	promise
that	that
every	every
leaf	leaf
of	of
fcientific	scientific
knowledge	knowledge
shuld	should
turn	turn
to	to
a	a
hank	bank
note	note
tlcugb	though
of	of
tbc	the
hnmble	humble
denomination	denomination
the	the
ark	work
would	would
he	be
secure	secure
of	of
the	the
desire	desire
fuufilment	fulfilment
nf	if
man	man
would	would
feek	seek
knowldgc	knowledge
not	not
as	as
tbey	they
seik	seek
lilver	silver
but	but
with	with
a	a
hundrcdth	hundredth
iart	part
of	of
the	the
fame	same
zea	zeal
we	we
fhould	should
not	not
fcar	fear
or	for
the	the
result	result
ii	if
for	for
open	open
tbe	the
fcurce	source
of	of
part	part
of	of
vhal	what
it	it
now	now
pav	pay
for	for
sxdesf	excess
vice	vice
diseafe	disease
ruin	ruin
and	and
death	death
lt	it
would	would
be	be
enougl	enough
enough	enough
to	to
huild	build
lyceumf	lyceums
everywere	everywhere
enougl	enough
to	to
procure	procure
apparatns	apparatus
and	and
hlhrary	library
enugb	enough
to	to
pav	pay
lecturer	lecturer
cnough	enough
to	to
meet	meet
all	all
the	the
expenfe	expense
o	of
ibe	the
moit	most
eral	eral
or	or
of	of
the	the
most	most
projedt	project
in	in
thif	this
caulc	cause
tle	the
fubstance	substance
of	of
the	the
objectin	objection
we	we
be	be
uov	now
consider	consider
be	be
tbat	that
the	the
undertaking	undertaking
to	to
disfeminate	disseminate
fcientifif	scientific
knowledge	knowledge
among	among
tle	the
maff	mass
ol	of
the	the
peoplc	people
be	be
vifionary	visionary
that	that
it	it
be	be
unsuilable	unsuitable
to	to
the	the
state	state
and	and
objeet	object
of	of
foclety	society
but	but
let	let
us	us
conlider	consider
wbat	what
it	it
be	be
in	in
lhml	this
matter	matter
that	that
be	be
vifionary	visionary
not	not
tle	the
knoalcdge	knowledge
prtpofc	propose
tm	to
be	be
galn	gain
not	not
tle	the
treafured	treasured
wiidom	wisdom
of	of
natuic	nature
not	not
the	the
plealuie	pleasure
of	of
contemplate	contemplate
il	it
not	not
tle	the
aptitude	aptitude
of	of
thc	the
human	human
mind	mind
fr	for
sudh	such
an	an
emplovment	employment
noi	not
the	the
capacity	capacity
of	of
common	common
mind	mind
to	to
receive	receive
lle	the
euementary	elementary
truth	truth
o	of
science	science
or	for
tbey	they
be	be
very	very
fimple	simple
what	what
tben	then
he	be
vifionry	visionary
in	in
this	this
project	project
thal	that
nndubtedlv	undoubtedly
which	which
have	have
cause	cause
cvcry	every
improvement	improvement
that	that
bave	have
it	it
bc	be
the	the
noveltv	novelty
oi	of
the	the
undereaking	undertaking
it	it
be	be
tlif	this
that	that
mark	mark
it	it
af	as
chlmerical	chimerical
unless	unless
indced	indeed
it	it
mav	may
bc	be
say	say
tlat	that
one	one
part	part
o	of
mankind	mankind
be	be
make	make
to	to
be	be
ignorant	ignorant
and	and
to	to
aork	work
and	and
anotler	another
part	part
cake	make
to	to
le	he
wifc	wise
and	and
to	to
rule	rule
them	them
on	on
ths	this
fummary	summary
cuaflifation	classification
and	and
appointment	appointment
t	it
he	be
true	true
we	we
eafily	easily
fomprchend	comprehend
what	what
be	be
mean	mean
hv	by
iear	rear
up	up
a	a
commnity	community
of	of
plain	plain
and	and
nduftrious	industrious
man	man
iho	who
understand	understand
their	their
hufineff	business
hut	but
we	we
trufl	trust
it	it
be	be
not	not
vifonaiy	visionary
for	for
man	man
alfo	also
to	to
understand	understand
lheir	their
oan	own
nature	nature
to	to
reverence	reverence
tbeir	their
creator	creator
and	and
to	to
lok	look
aith	with
earneft	earnest
inquiry	inquiry
into	into
thosc	those
rool	proof
of	of
pover	power
wisdom	wisdom
and	and
heneaolencc	benevolence
wlicb	which
he	he
lave	have
fpiead	spread
beforc	before
them	them
thcre	there
can	can
not	not
he	be
a	a
fteamhoat	steamboat
a	a
powfiloom	powerloom
a	a
fireengiuc	fireengine
the	the
model	model
of	of
a	a
carrage	carriage
for	for
a	a
r	or
a	a
neauy	newly
invcnt	invent
of	of
aay	aay
valuahle	valuable
description	description
pmesent	present
for	for
inlpcetion	inspection
hut	hut
it	it
hc	be
tbink	think
a	a
mark	mark
of	of
rcafonablc	reasonable
cnriofity	curiosity
and	and
enligltcncd	enlightened
judgment	judgment
to	to
examine	examine
and	and
undrftand	understand
lt	it
and	and
flall	shall
ae	we
vifdom	wisdom
and	and
hcauty	beauty
and	and
sdarcely	scarcely
heftow	bestow
upou	upon
it	it
a	a
cafuah	casual
think	think
but	but
tbe	the
poinl	point
wc	we
be	be
noi	now
confider	consider
opcn	open
to	to
a	a
wider	wider
discuffion	discussion
thc	the
general	general
queftion	question
of	of
utilitv	utility
here	here
naturally	naturally
offer	offer
itfelc	itself
ac	we
lave	have
thuf	thus
far	far
b	be
endeavor	endeavor
to	to
mect	meet
the	the
questin	question
vhetlxr	whether
anything	anything
can	can
be	be
do	do
lel	let
uf	us
now	now
go	go
to	to
tln	the
inquiry	inquiry
wletber	whether
any	any
good	good
be	be
likely	likely
to	to
be	be
do	do
provide	provide
tbe	the
undertaking	undertaking
can	can
succed	succeed
be	be
can	can
not	not
be	be
pronounce	pronounce
to	to
be	be
vifionary	visionary
and	and
yel	yet
what	what
il	it
he	be
that	that
conftitute	constitute
the	the
utllity	utility
of	of
any	any
mcafure	measure
or	or
of	of
any	any
acquisition	acquisition
mav	may
he	be
a	a
qucstion	question
ou	on
vhich	which
there	there
will	will
be	be
all	all
that	that
differenec	difference
oi	of
opinion	opinion
slall	shall
make	make
thc	the
project	project
ae	we
advofate	advocate
appeai	appear
to	to
some	some
to	to
be	be
a	a
vifionarv	visionary
undertaking	undertaking
and	and
to	to
other	other
to	to
be	be
tbe	the
found	sound
and	and
tbe	the
heft	best
policv	policy
witb	with
somc	some
nothlng	nothing
he	be
ufeful	useful
but	but
what	what
immdlatehy	immediately
tcnd	tend
lo	to
iucreafe	increase
the	the
projerty	property
comfort	comfort
and	and
outward	outward
vellheng	wellbeing
f	of
tie	the
people	people
and	and
bc	be
it	it
admil	admit
with	with
aul	all
tbe	the
readinesf	readiness
and	and
latilude	latitude
tlat	that
can	can
he	be
defire	desire
thev	they
he	be
not	not
the	the
only	only
thing	thing
that	that
come	come
into	into
acfunt	account
as	as
affct	affect
the	the
welfare	welfare
o	of
focietv	society
but	but
admit	admit
thc	the
imortance	importance
of	of
thefe	these
interest	interest
w	we
bclieve	believe
tlat	that
no	no
one	one
eftimate	estimate
them	them
finguy	singly
confider	consider
at	at
a	a
high	high
ratc	rate
tban	than
ve	we
do	do
wc	we
he	be
temit	tempt
to	to
fav	say
that	that
onc	one
of	of
the	the
greaeft	greatest
evil	evil
n	in
societj	society
bc	be
that	that
people	people
bh	be
not	not
well	well
enough	enough
off	off
not	not
that	that
tbire	there
he	be
a	a
ant	want
of	of
mcan	mean
or	for
providence	providence
cveryvhere	everywhere
be	be
bountiful	bountiful
but	but
tlele	these
meau	mean
bc	be
so	so
dlftrlhute	distribute
and	and
the	the
maxim	maxim
and	and
labit	habit
of	of
fociety	society
bc	be
fuch	such
that	that
the	the
flrugglc	struggle
of	of
lnman	human
interest	interest
and	and
nccesfilv	necessity
he	be
too	too
hard	hard
that	that
through	through
human	human
mifdlrection	misdirection
the	the
temptation	temptation
to	to
difbonestv	dishonesty
ambition	ambition
and	and
mutual	mutual
ftrife	strife
press	press
barder	harder
if	if
ic	we
mav	may
venture	venture
to	to
fay	say
fo	so
than	than
t	it
be	be
mcan	mean
to	to
prefs	press
we	we
lave	have
rcafoe	reason
then	then
hevond	beyond
all	all
wrldlv	worldly
prudence	prudence
lor	for
wifh	wish
that	that
compelence	competence
and	and
comfrt	comfort
may	may
bc	be
incrcaf	increase
in	in
thc	the
world	world
but	but
here	here
we	we
fay	say
and	and
might	might
argue	argue
mucl	much
at	at
large	large
do	do
our	our
fpace	space
pcrmit	permit
that	that
the	the
spread	spread
o	of
thc	the
mechandal	mechanical
povcr	power
and	and
of	of
tbe	the
capabilitv	capability
of	of
nature	nature
wouyd	would
tend	tend
and	and
directlv	directly
tend	tend
lo	to
hring	bring
about	about
thif	this
refult	result
fcicncc	science
it	it
have	have
be	be
often	often
fay	say
be	be
man	man
s	s
empire	empire
over	over
nalure	nature
it	it
be	be
thif	this
that	that
make	make
a	a
argc	large
parl	part
of	of
thc	the
differcnce	difference
bctween	between
the	the
barharian	barbarian
who	who
he	be
fubject	subject
to	to
tbc	the
element	element
and	and
of	of
tle	the
clvlized	civilized
man	man
wbo	who
command	command
thcm	them
it	it
be	be
tlif	this
that	that
in	in
flvmlizes	civilized
countrv	country
he	be
cvery	every
day	day
more	more
aud	and
morc	more
render	render
nature	nature
fuhfervient	subservient
to	to
man	man
f	s
ufe	use
for	for
food	food
mcdicinc	medicine
clotling	clothing
hahitation	habitation
fuwl	fuel
convenience	convenience
comfort	comfort
thefe	these
it	it
mav	may
he	be
fay	say
be	be
lhe	the
labor	labor
o	of
the	the
learn	learn
hut	but
arkwright	arkwright
and	and
fulton	fulton
be	be
not	not
learn	learn
befides	besides
whv	why
mhould	should
tlat	that
ahich	which
in	in
the	the
hand	hand
of	of
tle	the
ftudiouf	studious
he	be
fo	so
powerful	powerful
an	an
mnftrument	instrument
be	be
fo	so
uflefl	useless
ln	in
the	the
hand	hand
of	of
the	the
active	active
and	and
laborionf	laborious
ac	we
knov	know
that	that
it	it
be	be
not	not
and	and
it	it
he	be
demon	demon
a	as
a	a
matuer	matter
of	of
tbe	the
plain	plain
inference	inference
that	that
but	but
af	as
ait	art
inlehllgent	intelligent
handicraftfman	handicraftsman
who	who
understand	understand
tbe	the
povcr	power
he	he
wicld	wield
and	and
the	the
element	element
and	and
materal	material
le	he
wsrk	work
upon	upon
will	will
have	have
a	a
great	great
advantage	advantage
in	in
his	his
tle	the
artifan	artisan
vith	with
thif	this
qualiication	qualification
wll	will
bc	be
constanthv	constantly
improve	improve
hif	his
tool	tool
and	and
tlc	the
productlon	production
oi	of
huf	his
fkll	skill
and	and
shorten	shorten
thc	the
proceff	process
of	of
bif	his
lahor	lahor
the	the
farm	farm
vill	will
bc	be
eertain	certain
otler	other
thing	thing
he	be
equal	equal
to	to
hc	he
bettei	better
cnltivate	cultivate
and	and
to	to
be	be
make	make
more	more
productive	productive
by	by
a	a
fcientifc	scientific
agricuhturist	agriculturist
he	he
will	will
turn	turn
the	the
ftock	stock
as	as
welh	well
af	as
the	the
foil	soil
oi	of
bif	his
frm	farm
lo	to
great	great
account	account
vith	with
the	the
knowledge	knowledge
that	that
bok	book
of	of
fciend	science
wiue	will
guve	give
lim	him
how	how
many	many
horfe	horse
bavc	have
be	be
ruin	ruin
hy	by
ignorance	ignorance
in	in
the	the
farricr	farrier
ol	of
lhe	the
part	part
hc	he
opsrate	operate
upon	upon
tbe	the
foot	foot
of	of
the	the
horse	horse
be	be
connect	connect
with	with
the	the
leg	leg
by	by
muscle	muscle
and	and
llgament	ligament
which	which
answer	answer
tbe	the
purpofc	purpose
of	of
a	a
fine	fine
elaflic	elastic
tbat	that
favc	save
tbc	the
anmal	animal
from	from
lle	the
flfk	shock
whicl	which
vry	every
stcp	step
iuld	would
otherwife	otherwise
glve	give
him	him
tlis	this
effcct	effect
be	be
aid	aid
by	by
tbc	the
expansion	expansion
of	of
the	the
boof	hoof
and	and
hy	by
the	the
desccnt	descent
soft	soft
mufcular	muscular
fubftance	substance
tecbaicallv	technically
caul	call
lhe	the
frog	frog
now	now
ii	if
tb	the
shoe	shoe
be	be
place	place
too	too
lar	far
back	back
or	or
be	be
lorm	form
fo	so
af	as
to	to
contract	contract
the	the
foot	foot
l	it
wilh	will
interfere	interfere
with	with
thii	this
admirable	admirable
provision	provision
of	of
natnre	nature
and	and
lameneff	lameness
wiu	will
ensue	ensue
in	in
th	the
huilding	building
ol	of
houfc	house
again	again
sfieutlfic	scientific
princlpue	principle
be	be
indifpensable	indispensable
and	and
undoubtedlv	undoubtedly
a	a
thorougl	thorough
understandng	understanding
cf	of
tbem	them
would	would
enable	enable
thc	the
carpenter	carpenter
to	to
improvc	improve
hif	his
plan	plan
and	and
to	to
lacilitate	facilitate
tle	the
executon	execution
of	of
hif	his
tafk	task
but	but
there	there
be	be
one	one
evil	evil
that	that
especialuv	especially
calu	call
for	for
a	a
scicntifc	scientific
remedy	remedy
and	and
tbat	that
he	be
the	the
evih	evil
of	of
smoky	smoky
houle	house
ther	there
be	be
principle	principle
f	if
we	we
bc	be
rightly	rightly
inform	inform
on	on
vhlch	which
every	every
climnev	chimney
may	may
h	be
conltruct	construct
fo	so
as	as
certainlv	certainly
to	to
fmoke	smoke
and	and
any	any
one	one
may	may
convince	convince
himself	himself
of	of
tbs	this
bv	by
the	the
iact	fact
that	that
a	a
franklin	franklin
ftove	stove
he	be
an	an
invariabhc	invariable
remedv	remedy
for	for
a	a
fmoking	smoking
chlmnev	chimney
and	and
yet	yet
in	in
manv	many
place	place
if	if
not	not
generalhy	generally
more	more
lhan	than
half	half
of	of
tlc	the
cbimncy	chimney
be	be
fo	so
buihd	build
af	as
to	to
inflict	inflict
thif	this
hasting	lasting
evil	evil
thif	this
centnrv	century
f	s
calamity	calamity
bc	be
expcnd	expend
eithei	either
to	to
make	make
a	a
strong	strong
draugbt	draught
by	by
increase	increase
the	the
fire	fire
or	or
to	to
heat	heat
room	room
with	with
lalfopen	halfopen
door	door
lhc	the
cohd	cold
rheumatmfms	rheumatisms
and	and
variouf	various
dlseale	disease
indude	induce
in	in
tlif	this
way	way
tbe	the
irrltatmon	irritation
the	the
actual	actual
ili	ill
temper	temper
ccafion	occasion
by	by
juch	such
circumftancc	circumstance
cnstitute	constitute
all	all
tigcther	together
no	no
fmall	small
item	item
in	in
the	the
trouble	trouble
and	and
afflictlon	affliction
of	of
domestic	domestic
life	life
and	and
all	all
thil	this
bcauf	because
one	one
claff	class
of	of
our	our
artlfan	artisan
do	do
not	not
undrftand	understand
in	in
thif	this
particular	particular
the	the
pbilosophv	philosophy
of	of
the	the
dog	dog
defcribe	describe
and	and
llustrate	illustrate
it	it
aould	would
feem	seem
to	to
bc	be
the	the
beneflcent	beneficent
oider	order
of	of
provdence	providence
that	that
man	man
should	should
be	be
furround	surround
vith	with
inferior	inferior
animal	animal
under	under
bis	his
eonlrol	control
wlch	which
hy	by
their	their
capacitv	capacity
make	make
up	up
foi	for
th	the
defeci	defect
of	of
bis	his
plyfical	physical
power	power
he	he
have	have
tle	the
horse	horse
and	and
can	can
command	command
bis	his
ftrcngth	strength
and	and
more	more
than	than
ahl	all
he	he
have	have
ile	the
dog	dog
tle	the
most	most
inlelligent	intelligent
of	of
animal	animal
to	to
become	become
lis	his
servant	servant
and	and
fricnd	friend
in	in
order	order
lhal	that
the	the
dog	dog
fbould	should
belong	belong
alohly	wholly
to	to
man	man
he	he
bave	have
he	be
form	form
eminently	eminently
for	for
fricndfbip	friendship
and	and
levotion	devotion
even	even
at	at
the	the
facrifice	sacrifice
of	of
mucl	much
of	of
tl	the
inftinctive	instinctive
pasfion	passion
all	all
animal	animal
have	have
for	for
tbeir	their
oan	own
kind	kind
for	for
lbe	the
dg	dog
care	care
more	more
fr	for
the	the
soclety	society
of	of
his	his
luman	human
frend	friend
tlan	than
b	he
do	do
for	for
that	that
of	of
his	his
oan	own
fpecief	species
abeh	abel
the	the
fecond	second
fon	son
of	of
adam	adam
be	be
menton	mention
af	as
a	a
keepcr	keeper
ol	of
fbeep	sheep
the	the
dog	dog
theiefore	therefore
hc	be
prohably	probably
the	the
fccond	second
animal	animal
tamc	tame
hy	by
man	man
for	for
af	as
the	the
eompanicn	companion
of	of
the	the
fcepberd	shepherd
bc	he
have	have
be	be
know	know
in	in
all	all
the	the
wolf	wolf
and	and
th	the
jackal	jackal
and	and
even	even
now	now
aheu	when
crcumstancc	circumstance
have	have
ofcur	occur
t	to
caufe	cause
tbe	the
dog	dog
to	to
hive	live
in	in
a	a
wild	wild
ftate	state
he	he
affume	assume
more	more
or	or
uefs	less
thc	the
iolfifh	wolfish
form	form
and	and
expresfion	expression
in	in
fvct	fact
dog	dog
hclong	belong
to	to
our	our
indian	indian
tribe	tribe
and	and
thofe	those
vhcl	which
so	so
infeft	infest
tle	the
fuburb	suburb
of	of
oriental	oriental
cily	city
appear	appear
to	to
be	be
hut	but
littlc	little
remov	remove
in	in
physical	physical
form	form
from	from
tle	the
fuppofed	supposed
original	original
tvpe	type
t	it
have	have
be	be
suggest	suggest
vitl	with
apparent	apparent
trutl	truth
that	that
tbc	the
he	be
docyal	coeval
aith	with
man	man
in	in
the	the
east	east
muft	must
have	have
aid	aid
in	in
a	a
very	very
gi	gi
eat	eat
degree	degree
in	in
the	the
snperior	superior
earlv	early
civilization	civilization
of	of
asia	asia
lave	have
tbe	the
dog	dog
the	the
ndigenouf	indigenous
race	race
have	have
time	time
to	to
spare	spare
from	from
the	the
tiue	tile
jackal	jackal
and	and
painful	painful
labor	labor
of	of
the	the
cbafe	chase
to	to
create	create
tbe	the
blcffvnu	blessing
of	of
induftry	industry
hence	hence
tce	the
origin	origin
f	of
the	the
art	art
and	and
tradc	trade
and	and
a	a
key	key
to	to
the	the
difference	difference
n	in
the	the
civlization	civilization
heiween	between
the	the
old	old
and	and
nev	new
contlnent	continent
for	for
the	the
dog	dog
bc	be
unknown	unknown
to	to
america	america
before	before
t	it
be	be
introduce	introduce
bv	by
european	european
k	k
although	although
there	there
exft	exist
a	a
ftrange	strange
animosity	animosity
hetween	between
the	the
and	and
circumstance	circumstance
odcur	occur
in	in
vhich	which
tbey	they
form	form
riendly	friendly
relation	relation
and	and
uve	live
in	in
brotherhood	brotherhood
the	the
wild	wild
ratler	rather
lhe	the
dog	dog
hy	by
afcideut	accident
return	return
to	to
a	a
wild	wild
unite	unite
vitl	with
tle	the
volf	wolf
to	to
attack	attack
a	a
beaft	beast
when	when
lhe	the
combination	combination
be	be
neceslary	necessary
to	to
infurc	insure
viclory	victory
tle	the
dog	dog
and	and
thc	the
aolf	wolf
pursue	pursue
the	the
fame	same
svftem	system
in	in
hunt	hunt
while	while
some	some
be	be
in	in
amhuldade	ambuscade
otber	other
lead	lead
and	and
giv	give
voice	voice
on	on
the	the
trail	trail
to	to
indicat	indicate
to	to
tbeir	their
accomphice	accomplice
the	the
dirclion	direction
of	of
the	the
pursue	pursue
the	the
halffavage	halfsavage
bunter	hunter
o	of
tbc	the
vild	wild
of	of
the	the
cape	cape
of	of
good	good
bope	hope
and	and
of	of
the	the
forest	forest
of	of
america	america
hohd	hold
in	in
high	high
eftmaiion	estimation
the	the
dog	dog
whch	which
be	be
from	from
civilizalion	civilization
and	and
trv	try
by	by
every	every
art	art
in	in
their	their
pover	power
to	to
gct	get
poffeffion	possession
of	of
tbeir	their
leadr	leader
tle	the
wolf	wolf
cub	cub
can	can
he	be
train	train
to	to
the	the
fervice	service
ol	of
man	man
and	and
evidence	evidence
exist	exist
tlat	that
thev	they
be	be
capable	capable
f	of
the	the
ftrong	strong
attachment	attachment
and	and
highhy	highly
susceptible	susceptible
of	of
cultivation	cultivation
the	the
fiift	first
dog	dog
tlat	that
bunt	hunt
in	in
dmpanv	company
aith	with
man	man
foluow	follow
the	the
mlghtv	mighty
nimrod	nimrod
bc	be
uuquestonahuv	unquestionably
a	a
fpxcies	species
of	of
tawnv	tawny
grlvbound	greyhound
ftilh	still
to	to
be	be
fee	see
and	and
stranghe	strangle
thc	the
vild	wild
boar	boar
ahl	all
nation	nation
of	of
classic	classic
antiquity	antiquity
havc	have
in	in
turn	turn
claim	claim
the	the
honor	honor
of	of
tle	the
of	of
the	the
huutiugdog	huntingdog
the	the
greek	greek
mvthology	mythology
bae	have
many	many
hegend	legend
thc	the
most	most
ftrike	strike
oi	of
which	which
be	be
that	that
the	the
lwin	twin
of	of
leda	leda
firft	first
follow	follow
gamc	game
and	and
we	we
bave	have
castoi	castor
and	and
plux	pollux
among	among
tbc	the
star	star
still	still
engage	engage
ln	in
tleir	their
favorite	favorite
purfuit	pursuit
tbe	the
typc	type
of	of
tle	the
piimitiv	primitive
anmal	animal
be	be
bcst	best
preserve	preserve
among	among
tbofe	those
familiar	familiar
io	to
us	us
in	in
tbc	the
european	european
flepherd	shepherd
dog	dog
it	it
be	be
a	a
light	light
animal	animal
cut	cut
for	for
tle	the
coirfe	course
witb	with
eve	eye
ierce	pierce
ear	ear
fine	fine
and	and
ftraigbt	straight
air	air
aert	alert
and	and
spiritual	spiritual
tf	its
coal	coat
oi	of
hair	hair
be	be
rougb	rough
and	and
ts	its
tail	tail
fwcep	sweep
tbe	the
ground	ground
all	all
tbat	that
wc	we
now	now
pfsesf	possess
jrocced	proceed
from	from
thuf	this
breed	breed
in	in
tbe	the
ear	ear
of	of
the	the
dog	dog
we	we
mosl	most
difever	discover
the	the
efect	effect
of	of
domeftication	domestication
the	the
finc	fine
more	more
hang	hang
and	and
tremuhous	tremulous
be	be
tlif	this
organ	organ
tbe	the
more	more
hhe	the
animal	animal
depart	depart
from	from
the	the
oiiginal	original
lvpe	type
scc	see
how	how
trulv	truly
artifiiial	artificial
be	be
tbe	the
dog	dog
give	give
in	in
thc	the
lluftration	illustration
on	on
tle	the
precedmng	preceding
page	page
copy	copy
lrom	from
uandfeer	landseer
pure	pure
fhcpherd	shepherd
dog	dog
tlc	the
ear	ear
be	be
eredt	erect
and	and
point	point
as	as
a	a
cat	cat
f	s
in	in
fact	fact
no	no
iild	wild
animal	animal
of	of
bave	have
pendnt	pendent
ear	ear
the	the
witb	with
lhe	the
instinct	instinct
of	of
a	a
favage	savage
naturn	nature
trim	trim
up	up
the	the
ear	ear
of	of
bif	his
bulldog	bulldog
and	and
destrov	destroy
with	with
the	the
knife	knife
tbe	the
evidence	evidence
of	of
hng	long
slaverv	slavery
ani	and
civilization	civilization
thuf	thus
reltore	restore
ths	the
head	head
of	of
hif	his
favoritc	favorite
to	to
tle	the
trulv	truly
fcrociouf	ferocious
expreffion	expression
originally	originally
imprefs	impress
hv	by
the	the
creator	creator
himlelf	himself
the	the
dog	dog
hc	be
nowbere	nowhere
speak	speak
of	of
with	with
kindncf	kindness
n	in
the	the
cld	old
teftament	testament
or	or
lhe	the
nev	new
and	and
the	the
jew	jew
in	in
the	the
eastru	eastern
country	country
relain	retain
their	their
dijlike	dislike
lo	to
lle	the
animal	animal
even	even
to	to
tbif	this
day	day
their	their
example	example
have	have
not	not
he	be
lofe	lose
upon	upon
thc	the
turk	turk
for	for
vill	with
them	them
thc	the
dog	dog
lave	have
no	no
oiner	owner
and	and
be	be
simply	simply
ermit	permit
to	to
exilt	exist
as	as
the	the
fcavenger	scavenger
of	of
the	the
ftreet	street
the	the
confequenc	consequence
he	be
that	that
tl	the
dog	dog
of	of
lbe	the
eaft	east
have	have
degenrate	degenerate
beloa	below
the	the
standard	standard
ol	of
tbe	the
true	true
savage	savage
for	for
in	in
hif	his
queflionabuc	questionable
pofition	position
like	like
tbe	the
ndlan	indian
be	he
retain	retain
none	none
of	of
thc	the
virtne	virtue
of	of
lis	his
original	original
flatc	state
and	and
acqnre	acquire
ahl	all
sav	say
a	a
distinguifled	distinguished
traveuer	traveler
the	the
dog	dog
lofe	lose
all	all
bis	his
good	good
qualty	quality
he	he
he	be
no	no
long	long
thc	the
failhful	faithful
animal	animal
attach	attach
to	to
hif	his
maftsr	master
and	and
resdv	ready
to	to
defeud	defend
him	him
even	even
at	at
tbe	the
cxpenfe	expense
of	of
lis	his
life	life
on	on
tle	the
conlrary	contrary
he	he
be	be
cruel	cruel
and	and
gloomy	gloomy
egotisi	egotist
cut	cut
off	off
from	from
ail	all
luman	human
intercourse	intercourse
but	but
mot	not
the	the
lesf	less
a	a
slave	slave
bomer	homer
have	have
ufe	use
tl	the
faitlfulneff	faithfulness
of	of
tle	the
dog	dog
lo	to
give	give
point	point
to	to
onc	one
of	of
hif	his
most	most
beautifui	beautiful
epiiode	episode
uhvsses	ulysses
fr	for
many	many
vear	year
a	a
vanderer	wanderer
return	return
to	to
his	his
hme	home
fo	so
alter	alter
in	in
him	his
appcarance	appearance
lhat	that
the	the
moft	most
heloved	beloved
of	of
human	human
friend	friend
do	do
uot	not
recognize	recognize
him	him
the	the
faithfu	faithful
dog	dog
ahone	alone
hif	his
rigltful	rightful
maftcr	master
knoa	know
hlm	him
wlen	when
he	he
fee	see
lie	lie
rose	rose
and	and
crawl	crawl
have	have
to	to
all	all
he	he
couhd	could
and	and
fawad	fawad
and	and
kisf	kiss
liii	liii
ool	foot
in	in
tle	the
great	great
church	church
at	at
delft	delft
in	in
bolland	holland
be	be
a	a
magnificut	magnificent
mausoleum	mausoleum
ercct	erect
in	in
to	to
william	william
firft	first
prince	prince
of	of
orange	orange
at	at
ths	the
foot	foot
of	of
tbe	the
ftatue	statue
recline	recline
a	a
dog	dog
wlich	which
grief	grief
at	at
tbe	the
murdcr	murder
ol	of
hs	his
mafter	master
lord	lord
byron	byron
have	have
tbr	the
rare	rare
experienfe	experience
he	he
arite	write
l	of
have	have
a	a
onfe	once
faithful	faithful
do	dog
figet	forget
hlm	him
afler	after
a	a
hong	long
feparation	separation
we	we
dubt	doubt
the	the
fact	fact
and	and
ascribe	ascribe
the	the
lncident	incident
to	to
that	that
morbid	morbid
mifanthropv	misanthropy
that	that
discolored	discolored
every	every
thing	thing
in	in
the	the
poet	poet
s	s
mind	mind
il	it
b	be
tha	that
return	return
to	to
neastead	newstead
abhey	abbey
his	his
face	face
darkcn	darken
by	by
passion	passion
and	and
lis	his
dmlpofitiou	disposition
four	sour
be	he
undonsfioufly	unconsciously
to	to
himfelf	himself
rcpuhse	repulse
tbe	the
firft	first
advanfe	advance
of	of
hif	his
canine	canine
friend	friend
and	and
afterward	afterward
magnifv	magnify
the	the
incident	incident
and	and
use	use
it	it
to	to
clofe	close
a	a
couplrt	couplet
wrt	write
in	in
the	the
of	of
hif	his
sad	sad
mufe	muse
we	we
he	be
confirm	confirm
in	in
thif	this
opinon	opinion
becausc	because
later	later
in	in
life	life
be	he
say	say
tbe	the
poor	poor
dog	dog
iu	in
lile	life
the	the
firm	firm
the	the
firft	first
lo	to
wlcome	welcome
eoremoft	foremost
to	to
deiend	defend
whose	whose
honest	honest
leart	heart
be	be
still	still
iflf	isis
master	master
f	s
